"author","recipe_id","date","text"
"Anna Kocikova","7","31. 3. 2023 20:18","RubyRom: Marie Svarcova: Moc vám oběma děkuji
U nás zrovna začel hezky růst medvědí česnek a tak jsem zkusila zase něco novéhoJen manžel trochu brblal,že jsem mohla lístky česneku trošku překrájet,že mu to visí z pusy jako kozlovi tráva"
"Marie Svarcova","7","31. 3. 2023 08:19"," Parádní recept. určitě je to moc dobré a navíc krásně vypadá"
"RubyRom","7","30. 3. 2023 21:18","Přesně podle mého gusta. Mám ráda všelijaké masové kapsy a rolády. Skvěle jsi uvařila"
"Moanka","7","1. 4. 2023 11:16","Simona Skolakova: "
"Simona Skolakova","7","31. 3. 2023 23:24","Moanka: tak já bych vystěhovala všechnymanžel to rád,ale musí to jíst jedině v létě na zahradě tady doma nejdu ani do kompromisu,ale on to ví a tak neprotestujeon říká ty nevíš co je dobréno asi né,ale ten odér mi nějak hodně vadí"
"Moanka","7","31. 3. 2023 21:52","Mňam, to bych si dala… 😋 To zkusím. Snad mě nevystěhují…😁"
"RubyRom","7","30. 3. 2023 21:16","Nádhera"
"Marie Svarcova","7","30. 3. 2023 20:19","  to je velká dobrota a vždy vůně po celé ulici "
"Anna Kocikova","7","30. 3. 2023 19:28","Miládko,parádní fotka i recept,mňamDělávám tvarůžkové placičky a tohle by nám doma také chutnalo"
"kimlo","7","30. 3. 2023 14:25","Fantastické! "
"Marie Svarcova","7","30. 3. 2023 19:46","Anna Kocikova:  Moc děkuji a přeji krásný, pohodový večer"
"Anna Kocikova","7","30. 3. 2023 19:30","Moc hezky připraveno"
"Marie Svarcova","7","30. 3. 2023 17:51","Jaromira18:  děkuji,  hezký zbytek dne"
"Jaromira18","7","30. 3. 2023 17:27","Dobrůtka."
"Sigiczek","7","30. 3. 2023 20:15","Anna Kocikova: Přesně tak, jedna z mých nejoblíbenějších "
"Sigiczek","7","30. 3. 2023 20:14","Bohunka.T:  Děkuji, děkuji "
"Jaromira18","7","30. 3. 2023 20:02","Je moc dobrá, také jí ráda vařím."
"Anna Kocikova","7","30. 3. 2023 19:32","Také ji máme rádi a chutná nám nejen o víkendu"
"Bohunka.T","7","30. 3. 2023 13:40","Nejlepší, taky tak dělám bodik"
"Anna Kocikova","7","30. 3. 2023 19:36","Romanko,máš to moc hezky naaranžované
Já takto dělávám pomazánku ze zbytku vajíčkového salátu,je to taková rychlovka ze zbytků"
"RubyRom","7","30. 3. 2023 17:38","Marie Svarcova: moc děkuji "
"Marie Svarcova","7","30. 3. 2023 08:52"," Parádní pomazánka i foto"
"RubyRom","7","30. 3. 2023 07:50","Yarushka: Já moc děkuji "
"Yarushka","7","30. 3. 2023 03:16","V jednoduchosti je krása.. děkuji za inspiraci.."
"Anna Kocikova","7","30. 3. 2023 19:41","Přestalo mi fungovat přidávání hvězdiček"
"Anna Kocikova","7","30. 3. 2023 19:41","Moc hezky připravenéI mě zaujal ten dresink.Dělávám podobně tatarskou omáčku,ale  dávám celá uvařená vejce a nedávám olej"
"RubyRom","7","30. 3. 2023 11:31","Marie Svarcova: Díky moc "
"RubyRom","7","30. 3. 2023 11:30","Eja57: Moc děkuji "
"Eja57","7","30. 3. 2023 10:25","Moc pěkné
Líbí se mi dresink. Trochu něco jiného než klasika - majonéza. Hvězdičky letí"
"Marie Svarcova","7","30. 3. 2023 08:53"," moc pěkný salátek, ten já ráda "
"tejaja","7","31. 3. 2023 09:26","AniCiz:  Ďakujem."
"AniCiz","7","30. 3. 2023 18:19","Vypadá to moc chutně,už vím,co budu zítra vařit ,děkuji "
"tejaja","7","29. 3. 2023 18:36","Jaromira18:  Ďakujem. "
"Jaromira18","7","29. 3. 2023 14:59",""
"janatka","7","27. 6. 2020 20:56","Dnes upečeno na jednu akci. Moc nám to chutnalo. Zbyl na mne jen jediný kousek, tak budu muset upéct znovu, abych si mohla dát kousků více. Miluji kokos. Ani jsem nestihla fotečku."
"Dana61","7","10. 4. 2013 12:23","tak tahle dobrota mi málem utekla tisknu a vyzkouším"
"rebeka","7","21. 3. 2013 17:09","krásný koláček, mňáám"
"sirotek","7","21. 3. 2013 13:04","Mnááám"
"zizala (moderátorka)","7","21. 3. 2013 12:54","Vypadá to šťavnatě a chutně "
"Irule","7","21. 3. 2013 12:45","to vypadá lákavě, určitě vyzkouším. Mandarinky já moc ráda "
"Pajaja","7","21. 3. 2013 12:26","Zajímavý koláček! Mňam. . . "
"Ivana79","7","21. 3. 2013 11:46","ten bude dobrýýý"
"ivulinka","7","21. 3. 2013 07:51","Vypadá nádherně"
